Headline,Time,Detail,images
Sreeleela: శ్రీలీల కొత్త టాలెంట్‌.. మనసు పారేసుకుంటోన్న నెటిజన్లు,Published : 27 Aug 2023 12:01 IST,"హైదరాబాద్‌: నటి శ్రీలీల (Sreeleela) అంటే సినీ ప్రియులకు టక్కున గుర్తుకువచ్చేది ఆమె డ్యాన్స్‌. పాట ఏదైనా సరే హీరోకి ఏమాత్రం తగ్గకుండా.. కొన్నిసార్లు హీరోలను మించి డ్యాన్స్‌ చేస్తారీ బ్యూటీ. తాజాగా ఆమె తనలోని మరో టాలెంట్‌ను తెలుగువారికి పరిచయం చేశారు.
శ్రీలీల కథానాయికగా నటించిన కొత్త చిత్రం ‘స్కంద’ (Skanda). రామ్‌ హీరోగా నటించిన ఈ సినిమా ప్రీ రిలీజ్‌ ఈవెంట్‌ శనివారం సాయంత్రం హైదరాబాద్‌లో జరిగింది. ఈ వేడుకలో శ్రీలీల పాట పాడి అలరించారు. తమన్‌ (Thaman) బృందంతో కలిసి ‘స్కంద’లోని ‘నీ చుట్టు చుట్టు’ పాటను ఆలపించారు. అభిమానులతోపాటు రామ్‌, ముఖ్య అతిథిగా విచ్చేసిన బాలకృష్ణ (Balakrishna) సైతం ఆమె పాటను ఎంజాయ్‌ చేస్తూ కనిపించారు.
Vijay Deverakonda: ‘అది నా పిల్ల’.. ఇదొక ఎమోషన్‌: విజయ్‌ దేవరకొండ
అనంతరం లవ్‌ ప్రపోజల్స్‌ గురించి ‘‘చూడొచ్చేమో.. ఉంటుందేమో’’ అంటూ శ్రీలీల క్యూట్‌గా మాట్లాడారు. దీనికి సంబంధించిన పలు వీడియోలు ప్రస్తుతం నెట్టింట వైరల్‌గా మారాయి. ‘లూప్‌ మోడ్‌లో పాటను వింటున్నా’, ‘ఎంత క్యూట్‌గా మాట్లాడుతున్నారో’ అంటూ పలువురు కామెంట్స్‌ కూడా చేస్తున్నారు. ఇదే ఫంక్షన్‌లో శ్రీలీలను ఉద్దేశిస్తూ బాలయ్య హిందీలో మాట్లాడి అలరించారు. ‘జైలర్‌’లోని ‘హుకుం’ పాట పాడిన రామ్‌.. ఇది బాలయ్యకు బాగా సరిపోతుందని చెప్పారు.
‘వారియర్‌’ తర్వాత రామ్‌ నటిస్తోన్న చిత్రం ‘స్కంద’. బోయపాటి శ్రీను దర్శకుడు. శ్రీలీల కథానాయిక. మాస్‌, యాక్షన్‌ ఎంటర్‌టైనర్‌గా తెరకెక్కిన ఈ సినిమా సెప్టెంబర్‌ 15న ప్రేక్షకుల ముందుకు రానుంది. ఇందులో రామ్‌ రెండు కోణాలు ఉన్న పాత్రలో కనిపించనున్నారు.",https://assets.eenadu.net/article_img/brk-Sreeleela.jpg
Headline,Time,Detail,images
Sreeleela: శ్రీలీల కొత్త టాలెంట్‌.. మనసు పారేసుకుంటోన్న నెటిజన్లు,Published : 27 Aug 2023 12:01 IST,"హైదరాబాద్‌: నటి శ్రీలీల (Sreeleela) అంటే సినీ ప్రియులకు టక్కున గుర్తుకువచ్చేది ఆమె డ్యాన్స్‌. పాట ఏదైనా సరే హీరోకి ఏమాత్రం తగ్గకుండా.. కొన్నిసార్లు హీరోలను మించి డ్యాన్స్‌ చేస్తారీ బ్యూటీ. తాజాగా ఆమె తనలోని మరో టాలెంట్‌ను తెలుగువారికి పరిచయం చేశారు.
శ్రీలీల కథానాయికగా నటించిన కొత్త చిత్రం ‘స్కంద’ (Skanda). రామ్‌ హీరోగా నటించిన ఈ సినిమా ప్రీ రిలీజ్‌ ఈవెంట్‌ శనివారం సాయంత్రం హైదరాబాద్‌లో జరిగింది. ఈ వేడుకలో శ్రీలీల పాట పాడి అలరించారు. తమన్‌ (Thaman) బృందంతో కలిసి ‘స్కంద’లోని ‘నీ చుట్టు చుట్టు’ పాటను ఆలపించారు. అభిమానులతోపాటు రామ్‌, ముఖ్య అతిథిగా విచ్చేసిన బాలకృష్ణ (Balakrishna) సైతం ఆమె పాటను ఎంజాయ్‌ చేస్తూ కనిపించారు.
Vijay Deverakonda: ‘అది నా పిల్ల’.. ఇదొక ఎమోషన్‌: విజయ్‌ దేవరకొండ
అనంతరం లవ్‌ ప్రపోజల్స్‌ గురించి ‘‘చూడొచ్చేమో.. ఉంటుందేమో’’ అంటూ శ్రీలీల క్యూట్‌గా మాట్లాడారు. దీనికి సంబంధించిన పలు వీడియోలు ప్రస్తుతం నెట్టింట వైరల్‌గా మారాయి. ‘లూప్‌ మోడ్‌లో పాటను వింటున్నా’, ‘ఎంత క్యూట్‌గా మాట్లాడుతున్నారో’ అంటూ పలువురు కామెంట్స్‌ కూడా చేస్తున్నారు. ఇదే ఫంక్షన్‌లో శ్రీలీలను ఉద్దేశిస్తూ బాలయ్య హిందీలో మాట్లాడి అలరించారు. ‘జైలర్‌’లోని ‘హుకుం’ పాట పాడిన రామ్‌.. ఇది బాలయ్యకు బాగా సరిపోతుందని చెప్పారు.
‘వారియర్‌’ తర్వాత రామ్‌ నటిస్తోన్న చిత్రం ‘స్కంద’. బోయపాటి శ్రీను దర్శకుడు. శ్రీలీల కథానాయిక. మాస్‌, యాక్షన్‌ ఎంటర్‌టైనర్‌గా తెరకెక్కిన ఈ సినిమా సెప్టెంబర్‌ 15న ప్రేక్షకుల ముందుకు రానుంది. ఇందులో రామ్‌ రెండు కోణాలు ఉన్న పాత్రలో కనిపించనున్నారు.",https://assets.eenadu.net/article_img/brk-Sreeleela.jpg
Headline,Time,Detail,images
Sreeleela: శ్రీలీల కొత్త టాలెంట్‌.. మనసు పారేసుకుంటోన్న నెటిజన్లు,Published : 27 Aug 2023 12:01 IST,"హైదరాబాద్‌: నటి శ్రీలీల (Sreeleela) అంటే సినీ ప్రియులకు టక్కున గుర్తుకువచ్చేది ఆమె డ్యాన్స్‌. పాట ఏదైనా సరే హీరోకి ఏమాత్రం తగ్గకుండా.. కొన్నిసార్లు హీరోలను మించి డ్యాన్స్‌ చేస్తారీ బ్యూటీ. తాజాగా ఆమె తనలోని మరో టాలెంట్‌ను తెలుగువారికి పరిచయం చేశారు.
శ్రీలీల కథానాయికగా నటించిన కొత్త చిత్రం ‘స్కంద’ (Skanda). రామ్‌ హీరోగా నటించిన ఈ సినిమా ప్రీ రిలీజ్‌ ఈవెంట్‌ శనివారం సాయంత్రం హైదరాబాద్‌లో జరిగింది. ఈ వేడుకలో శ్రీలీల పాట పాడి అలరించారు. తమన్‌ (Thaman) బృందంతో కలిసి ‘స్కంద’లోని ‘నీ చుట్టు చుట్టు’ పాటను ఆలపించారు. అభిమానులతోపాటు రామ్‌, ముఖ్య అతిథిగా విచ్చేసిన బాలకృష్ణ (Balakrishna) సైతం ఆమె పాటను ఎంజాయ్‌ చేస్తూ కనిపించారు.
Vijay Deverakonda: ‘అది నా పిల్ల’.. ఇదొక ఎమోషన్‌: విజయ్‌ దేవరకొండ
అనంతరం లవ్‌ ప్రపోజల్స్‌ గురించి ‘‘చూడొచ్చేమో.. ఉంటుందేమో’’ అంటూ శ్రీలీల క్యూట్‌గా మాట్లాడారు. దీనికి సంబంధించిన పలు వీడియోలు ప్రస్తుతం నెట్టింట వైరల్‌గా మారాయి. ‘లూప్‌ మోడ్‌లో పాటను వింటున్నా’, ‘ఎంత క్యూట్‌గా మాట్లాడుతున్నారో’ అంటూ పలువురు కామెంట్స్‌ కూడా చేస్తున్నారు. ఇదే ఫంక్షన్‌లో శ్రీలీలను ఉద్దేశిస్తూ బాలయ్య హిందీలో మాట్లాడి అలరించారు. ‘జైలర్‌’లోని ‘హుకుం’ పాట పాడిన రామ్‌.. ఇది బాలయ్యకు బాగా సరిపోతుందని చెప్పారు.
‘వారియర్‌’ తర్వాత రామ్‌ నటిస్తోన్న చిత్రం ‘స్కంద’. బోయపాటి శ్రీను దర్శకుడు. శ్రీలీల కథానాయిక. మాస్‌, యాక్షన్‌ ఎంటర్‌టైనర్‌గా తెరకెక్కిన ఈ సినిమా సెప్టెంబర్‌ 15న ప్రేక్షకుల ముందుకు రానుంది. ఇందులో రామ్‌ రెండు కోణాలు ఉన్న పాత్రలో కనిపించనున్నారు.",https://assets.eenadu.net/article_img/brk-Sreeleela.jpg
Headline,Time,Detail,images
Top 10 News @ 5 PM: ఈనాడు.నెట్‌లో టాప్‌ 10 వార్తలు,Published : 27 Aug 2023 16:58 IST,"1. ‘చంద్రయాన్‌-3’ విజయంతో.. దేశంలో పండగల సీజన్‌ మొదలైంది..!
చంద్రయాన్‌-3 (Chandrayaan-3) విజయంతో భారత్‌లో పండగల సీజన్‌ ఆగస్టు 23నే మొదలైందని ప్రధాన మంత్రి నరేంద్ర మోదీ (Narendra Modi) పేర్కొన్నారు. దిల్లీలో సాగుతోన్న బీ-20 సదస్సు (B20 Summit)ను ఉద్దేశించి ప్రధాని మోదీ ప్రసంగించారు. ప్రస్తుత పారిశ్రామిక యుగంలో డిజిటల్‌ విప్లవానికి భారత్‌ ముఖచిత్రంగా మారిందని చెప్పారు.పూర్తి వార్త కోసం క్లిక్‌ చేయండి
2. ఏ నిందితుడూ ఇన్నేళ్లు బెయిల్‌పై బయట ఉండలేదు: నారాయణ
ఎన్నికల్లో గెలిపిస్తే కేంద్రం మెడలు వంచుతానని చెప్పిన సీఎం జగన్‌.. కేసులకు భయపడి ప్రధాని మోదీకి లొంగిపోయారని సీపీఐ జాతీయ కార్యదర్శి నారాయణ విమర్శించారు. ఎన్నో కేసుల్లో నిందితుడిగా ఉన్న జగన్‌.. బెయిల్‌పై బయట ఉన్నారని గుర్తు చేశారు. దేశానికి స్వాతంత్ర్యం వచ్చిన తర్వాత ఏ నిందితుడూ ఇన్నేళ్లు బెయిల్‌పై బయట ఉండలేదని వ్యాఖ్యానించారు.పూర్తి వార్త కోసం క్లిక్‌ చేయండి
3. ఆ రాష్ట్రాల్లో రూ.వెయ్యికి మించి పింఛన్‌ ఇవ్వడం లేదు: హరీశ్‌ రావు
కాంగ్రెస్‌ ఏ డిక్లరేషన్‌ చేసినా ముందుగా వారు అధికారంలో ఉన్న రాష్ట్రాల్లో చేయాలని మంత్రి హరీశ్‌ రావు దుయ్యబట్టారు. సిద్దిపేటలో బీడీ టేకేదార్లకు నూతన పింఛన్‌ల మంజూరు సహా దివ్యాంగులకు పింఛన్‌ పెంపు, జూనియర్ పంచాయతీ కార్యదర్శులకు ఉద్యోగ క్రమబద్దీకరణ పత్రాలను మంత్రి పంపిణీ చేశారు. ఈ సందర్భంగా ఆయన మాట్లాడారు.పూర్తి వార్త కోసం క్లిక్‌ చేయండి
4. కాంగ్రెస్ ఎస్టీ డిక్లరేషన్ పూర్తిగా కుట్ర పూరితమే: మంత్రి సత్యవతి
కాంగ్రెస్ పార్టీ అసత్య ప్రచారాలు చేస్తూ రాజకీయం చేస్తోందని భారాస నేతలు మండిపడ్డారు. కాంగ్రెస్ ప్రకటించిన ఎస్టీ డిక్లరేషన్ పూర్తిగా కుట్ర పూరితమేనని గిరిజన సంక్షేమశాఖ మంత్రి సత్యవతి రాథోడ్ విమర్శించారు. అసెంబ్లీ ప్రాంగణంలోని బీఆర్‌ఎస్‌ఎల్పీ కార్యాలయంలో ఎంపీ మాలోతు కవిత, ప్రభుత్వ విప్‌ ఎంఎస్ ప్రభాకర్‌తో కలిసి మంత్రి సత్యవతి మాట్లాడారు. కాంగ్రెస్ డిక్లరేషన్‌పై విమర్శనాస్త్రాలు సంధించారు.పూర్తి వార్త కోసం క్లిక్‌ చేయండి
5. ఖర్గే.. మీ మధ్య దోస్తీ లేకపోతే ఈ ప్రశ్నలకు సమాధానం చెప్పండి: కిషన్‌రెడ్డి
చేవెళ్ల ప్రజాగర్జన సభలో ఏఐసీసీ అధ్యక్షుడు మల్లికార్జున ఖర్గే పచ్చి అబద్ధాలు మాట్లాడారని కేంద్రమంత్రి, భాజపా రాష్ర్ట అధ్యక్షుడు కిషన్‌రెడ్డి అన్నారు. కేసీఆర్‌కు భాజపాతో అంతర్గత స్నేహం కుదిరిందని, అందుకే ఒకరిపై ఒకరు ఆరోపణలు చేసుకోవడం మానేశారన్న ఖర్గే వ్యాఖ్యలపై ఆయన మండిపడ్డారు.పూర్తి వార్త కోసం క్లిక్‌ చేయండి
6. ఆ మూడు స్థానాలు ఇస్తే కాంగ్రెస్‌తో పొత్తుకు సిద్ధమే: కూనంనేని
తెలంగాణలో వచ్చే అసెంబ్లీ ఎన్నికలే లక్ష్యంగా కాంగ్రెస్‌ పార్టీ పొత్తుల కోసం పావులు కదుపుతోంది. ఈ నేపథ్యంలో ఉభయ కమ్యూనిస్టు పార్టీలతో రాష్ట్ర కాంగ్రెస్‌ వ్యవహారాల ఇన్‌ఛార్జి ఠాక్రే సంప్రదింపులు జరిపినట్లు తెలుస్తోంది. సీపీఐ రాష్ట్ర కార్యదర్శి కూనంనేని సాంబశివరావుతో చర్చలు జరపగా.. తాము పోటీ చేసే స్థానాలను ఆయన కాంగ్రెస్‌ దృష్టికి తీసుకెళ్లారు.పూర్తి వార్త కోసం క్లిక్‌ చేయండి
7. ‘ఇండియా’ కూటమిలోకి మరికొన్ని పార్టీలు: నీతీశ్‌
వచ్చే సార్వత్రిక ఎన్నికల్లో ప్రధాని మోదీ సారథ్యంలోని ఎన్డీయే(NDA) ప్రభుత్వాన్ని ఓడించడమే లక్ష్యంగా ఏర్పాటైన విపక్ష కూటమి ‘ఇండియా’(INDIA)లోకి మరికొన్ని పార్టీలు చేరే అవకాశం ఉందని బిహార్‌ సీఎం నీతీశ్ కుమార్‌(Nitish Kumar) అన్నారు. త్వరలో ముంబయిలో జరగనున్న సమావేశానికి ఆ పార్టీలు వస్తాయని విశ్వాసం వ్యక్తం చేశారు.పూర్తి వార్త కోసం క్లిక్‌ చేయండి
8. హోటల్‌లో అగ్నిప్రమాదం.. ముగ్గురి మృతి
మహారాష్ట్ర రాజధాని నగరం ముంబయి(Mumbai)లోని ఓ హోటల్‌లో అగ్ని ప్రమాదం(Fire Accident) సంభవించింది. హోటల్‌ గెలాక్సీలో మంటలు చెలరేగడంతో ముగ్గురు ప్రాణాలు కోల్పోగా.. పలువురు గాయపడ్డారు.  శాంతాక్రూజ్‌ ప్రాంతంలోని ప్రభాత్‌నగర్‌ కాలనీలో ఉన్న ఈ హోటల్‌ రెండో అంతస్తులో ఆదివారం మధ్యాహ్నం ఒంటిగంట సమయంలో అగ్నిప్రమాదం సంభవించింది.పూర్తి వార్త కోసం క్లిక్‌ చేయండి
9. దిల్లీ మెట్రో స్టేషన్లలో ఖలిస్థానీ రాతల కలకలం
దేశ రాజధాని దిల్లీ (Delhi)లో ఖలిస్థానీ (Khalistan) మద్దతుదారులు రెచ్చిపోయారు. ఆదివారం ఉదయం దిల్లీలోని ఐదు మెట్రో స్టేషన్ల (Delhi Metro) గోడలపై ఖలిస్థాన్‌కు మద్దతుగా గ్రాఫిటీ (రంగులతో స్ప్రే చేయడం)తో రాశారు. దీనిపై పోలీసులు కేసు నమోదు చేశారు. విచారణ జరిపి బాధ్యులపై కఠిన చర్యలు తీసుకుంటామని దిల్లీ పోలీస్‌ కమిషనర్‌ తెలిపారు.పూర్తి వార్త కోసం క్లిక్‌ చేయండి
10. ఆస్ట్రేలియాలో కూలిన అమెరికా సైనిక హెలికాప్టర్‌.. ముగ్గురు మృతి
ఆస్ట్రేలియా(Australia)లో జరుగుతున్న యుద్ధ విన్యాసాల్లో అమెరికా(USA)కు చెందిన హెలికాప్టర్‌ కూలిపోయింది. ఈ ఘటనలో ముగ్గురు మెరైన్స్‌ మరణించగా.. మరో 20 మంది తీవ్రంగా గాయపడ్డారు. వీరిలో ఐదుగురి పరిస్థితి విషమంగా ఉంది. అమెరికాకు చెందిన ఎంవీ-22బీ ఓస్ప్రే ( MV-22B Osprey) హెలికాప్టర్‌ దాదాపు 23 మందితో ఆస్ట్రేలియాలోని ఉత్తర డార్విన్‌ ప్రాంతంలోని తివి ద్వీపం వద్ద వెళుతుండగా కూలిపోయింది.పూర్తి వార్త కోసం క్లిక్‌ చేయండి",https://assets.eenadu.net/article_img/5pm-inner_660.jpg
Crime News: ప్రియుడిపై సాక్ష్యం చెప్పేందుకు నిరాకరించిందని.. కన్న కుమార్తె హత్య!,Published : 27 Aug 2023 16:20 IST,"లఖ్‌నవూ: ఉత్తర్‌ప్రదేశ్‌ (Uttar Pradesh)లో దారుణం చోటుచేసుకుంది. కోర్టులో ప్రియుడికి వ్యతిరేకంగా సాక్ష్యం చెప్పేందుకు నిరాకరించిందన్న ఆగ్రహంతో కన్న కుమార్తెను హత్యచేశారు ఆమె తల్లిదండ్రులు (Pregnant woman killed). ఎనిమిది నెలల గర్భిణి అని కూడా చూడకుండా గొంతు నులిమి చంపేసి, మృతదేహాన్ని నదిలో పారేయడం గమనార్హం. పోలీసుల వివరాల ప్రకారం.. ఇక్కడి ముజఫర్‌నగర్‌ ప్రాంతానికి చెందిన ఓ యువతి (19) గతేడాది తన ప్రియుడితో కలిసి ఇంట్లో నుంచి వెళ్లిపోయింది. డిసెంబరులో పోలీసులు వారి ఆచూకీ కనుగొన్నారు.
బాణసంచా ఫ్యాక్టరీలో ఘోర ప్రమాదం.. ఆరుగురి మృతి!
యువతి తల్లిదండ్రుల ఫిర్యాదు మేరకు అతడిపై కిడ్నాప్‌, అత్యాచారం కేసు నమోదైంది. ప్రస్తుతం జైల్లో ఉన్నాడు. ఈ కేసులో శనివారం ఆ యువతి కోర్టులో తన వాంగ్మూలం ఇవ్వాల్సి ఉండగా రాలేదు. ఈ క్రమంలో ఆరా తీయగా అసలు విషయం బయటపడింది. ‘కోర్టులో ప్రియుడికి వ్యతిరేకంగా సాక్ష్యం చెప్పాలని ఆమె తల్లిదండ్రులు కోరారు. కానీ, ఆమె ఒప్పుకోలేదు. దీంతో ఆగ్రహానికి గురైన వారు ఆమెను హత్య చేశారు’ అని ఎస్పీ తెలిపారు. విచారణ క్రమంలో నిందితులు తమ నేరాన్ని అంగీకరించినట్లు చెప్పారు. ఈ మేరకు కేసు నమోదు చేసుకుని, ఇద్దరిని అరెస్టు చేశామన్నారు.",
Headline,Time,Detail,images
